index,Genre,Year,Movies Released,Gross,Tickets Sold,Inflation-Adjusted Gross,Top Movie,Top Movie Gross (That Year),Top Movie Inflation-Adjusted Gross (That Year)
0,Adventure,1995,29,771507571,177358047,1590901682,Toy Story,150148222,309615962.186208
1,Adventure,1996,34,1290490033,291966054,2618935504,Independence Day,306169255,621343452.214582
2,Adventure,1997,23,881902843,192135684,1723457085,Men in Black,250650052,489832424.743661
3,Adventure,1998,29,1614467732,344236174,3087798481,Armageddon,201578182,385534372.626496
4,Adventure,1999,27,1612432107,317407880,2847148684,Star Wars Ep. I: The Phantom Menace,430443350,760054461.932797
5,Adventure,2000,30,1327311892,246254507,2208902928,How the Grinch Stole Christmas,253367455,421652300.851538
6,Adventure,2001,32,2268870844,400844935,3595579067,Harry Potter and the Sorcerer’s Stone,300404434,476064072.743835
7,Adventure,2002,45,2818919526,485184060,4352101018,Spider-Man,403706375,623278142.353961
8,Adventure,2003,46,2424131447,402011823,3606046052,Finding Nemo,339714367,505346215.216204
9,Adventure,2004,47,2887833719,465029564,4171315189,Shrek 2,441226247,637326773.279
10,Adventure,2005,43,2541162317,396437158,3556041307,Star Wars Ep. III: Revenge of the Sith,380270577,532141481.322275
11,Adventure,2006,44,2743705092,418886249,3757409654,Pirates of the Caribbean: Dead Man’s Chest,423315812,579716429.195463
12,Adventure,2007,41,2914786658,411094655,3687519055,Spider-Man 3,336530303,425747078.775542
13,Adventure,2008,57,3007666130,343645676,3082501714,Iron Man,318412101,326334707.599623
14,Adventure,2009,49,2818706120,322117706,2889395823,Harry Potter and the Half-Blood Prince,301959197,309531964.449076
15,Adventure,2010,44,3202949362,372676939,3342912143,Toy Story 3,415004880,433139802.088528
16,Adventure,2011,51,2775702217,324520322,2910947288,Harry Potter and the Deathly Hallows: Part II,381011219,399575850.69927
17,Adventure,2012,48,3284291528,412599414,3701016744,The Hobbit: An Unexpected Journey,263834893,297311413.533095
18,Adventure,2013,40,2900376040,356747331,3200023559,The Hunger Games: Catching Fire,407139699,449202658.77116
19,Adventure,2014,49,2734961640,334755123,3002753453,The Lego Movie,257784718,283025524.301369
20,Adventure,2015,51,3063807262,355658524,3190256960,Star Wars Ep. VII: The Force Awakens,742208942,772841448.728747
21,Adventure,2016,53,4159137913,478096752,4288527865,Finding Dory,486295561,501424119.035773
22,Adventure,2017,44,2687890267,299653307,2687890164,Star Wars Ep. VIII: The Last Jedi,517218368,517218348.180183
23,Adventure,2018,49,2973509668,331494935,2973509567,Incredibles 2,608581744,608581723.32855
24,Action,1995,29,1049544278,241274531,2164232543,Batman Forever,184031112,379484820.091485
25,Action,1996,36,1222675745,276623456,2481312400,Twister,241688385,490485223.976103
26,Action,1997,36,1456612580,317344773,2846582614,The Lost World: Jurassic Park,229086679,447692246.03319
27,Action,1998,30,973161753,207497162,1861249543,Rush Hour,137567454,263108738.192646
28,Action,1999,25,910203960,179173997,1607190753,The Matrix,171479930,302790330.445373
29,Action,2000,31,1266568598,234982623,2107794128,Mission: Impossible 2,215409889,358480148.540152
30,Action,2001,31,1390622699,245693043,2203866596,Rush Hour 2,226164286,358426419.676607
31,Action,2002,32,1394290142,239981075,2152630243,Men in Black 2,190418803,293985636.00664
32,Action,2003,36,2109404900,349818376,3137870833,The Matrix Reloaded,281553689,418828603.572815
33,Action,2004,28,1068864943,172119948,1543915934,"I, Robot",144801023,209157020.382509
34,Action,2005,41,1356922056,211688288,1898843943,War of the Worlds,234280354,327846267.359071
35,Action,2006,33,1050592286,160395751,1438749886,X-Men: The Last Stand,234362462,320951305.257518
36,Action,2007,38,1489960013,214202319,1921394801,Transformers,319246193,411687542.026165
37,Action,2008,36,1643555898,195362748,1752403850,The Dark Knight,531001578,566168276.220852
38,Action,2009,31,2041030428,237119885,2126965368,Transformers: Revenge of the Fallen,402111870,419042268.953238
39,Action,2010,31,1804202879,205215607,1840783995,Avatar,408392727,416673093.855541
40,Action,2011,47,2117521464,243632546,2185383938,Transformers: Dark of the Moon,352390543,363683979.439133
41,Action,2012,48,2219838801,278874194,2501501520,The Avengers,623279547,702363943.500333
42,Action,2013,45,2423174736,298053449,2673539438,Iron Man 3,408992272,451249739.766692
43,Action,2014,49,2603979395,318724501,2858958774,Guardians of the Galaxy,333055258,365667736.816302
44,Action,2015,56,2947442069,338704883,3038182801,Jurassic World,652270625,672351601.17833
45,Action,2016,61,2533249471,289951566,2600865547,Captain America: Civil War,408084349,418976707.874352
46,Action,2017,67,3305708764,368529372,3305708467,Wonder Woman,412563408,412563370.933416
47,Action,2018,59,4142067464,461768924,4142067248,Black Panther,700059566,700059529.493384
48,Drama,1995,131,1525963099,350796050,3146640569,Apollo 13,172036360,354750773.510735
49,Drama,1996,121,1373074715,310650329,2786533451,A Time to Kill,108766007,220730972.267012
50,Drama,1997,117,1198241550,261054747,2341661081,The Godfather,129141981,252375450.368034
51,Drama,1998,129,1577021454,335565112,3010019055,Saving Private Ryan,190588778,363771749.581515
52,Drama,1999,133,1458861532,287177397,2575981251,The General's Daughter,102705852,181352611.825521
53,Drama,2000,166,1749265350,324538950,2911114382,The Perfect Storm,182618434,303912239.292751
54,Drama,2001,151,1377189931,243319703,2182577736,Cast Away,123942702,196425036.10846
55,Drama,2002,175,1601890899,275712631,2473142300,A Beautiful Mind,132929755,205228833.139863
56,Drama,2003,174,1109221772,183950452,1650035554,Seabiscuit,120277854,178920699.600928
57,Drama,2004,228,1380080888,222235135,1993449161,The Passion of the Christ,370274604,534840823.535415
58,Drama,2005,266,1421398792,221746950,1989070142,Million Dollar Baby,99378637,139067994.655617
59,Drama,2006,252,1566403106,239145382,2145134077,The Departed,120359613,164828265.694739
60,Drama,2007,249,1293722940,178970159,1605362326,American Gangster,129150735,160261303.200057
61,Drama,2008,256,1089416918,137297291,1231556700,Twilight,176922850,200006551.854003
62,Drama,2009,196,1834368065,219737067,1971041491,The Twilight Saga: New Moon,287954655,309409318.315619
63,Drama,2010,208,1688220533,195679977,1755249394,The Twilight Saga: Eclipse,300531751,312464019.664017
64,Drama,2011,244,1490251352,183601071,1646901607,"The Twilight Saga: Breaking Dawn, Part 1",275530738,304493610.813443
65,Drama,2012,228,1670673352,209883469,1882654717,"The Twilight Saga: Breaking Dawn, Part 2",289133356,325819691.721186
66,Drama,2013,231,1338302458,164612723,1476576125,The Great Gatsby,144840419,159805358.90968
67,Drama,2014,254,1648533596,201778765,1809955522,The Fault in Our Stars,124872350,137099662.376318
68,Drama,2015,287,2070185234,240584394,2158042014,American Sniper,347897084,362661520.085061
69,Drama,2016,282,1360947564,156363340,1402579160,Sully,124976335,128799380.373613
70,Drama,2017,253,1326577328,147890338,1326576332,Hidden Figures,167620331,167620205.14993
71,Drama,2018,266,1631625937,181897975,1631624836,A Star is Born,202110097,202109960.61873
72,Comedy,1995,61,1048895722,241125423,2162895044,Ace Ventura: When Nature Calls,104371496,215221195.680752
73,Comedy,1996,69,1041177912,235560580,2112978403,The Nutty Professor,128814019,261416648.407186
74,Comedy,1997,72,1296925200,282554475,2534513641,Liar Liar,181410615,354521354.307634
75,Comedy,1998,74,791406180,168743282,1513627240,The Waterboy,150042308,286967843.164012
76,Comedy,1999,69,1352538228,266247647,2388241394,Austin Powers: The Spy Who Shagged Me,206040085,363814825.809329
77,Comedy,2000,79,1482623604,275069272,2467371370,Meet the Parents,161325490,268476701.843485
78,Comedy,2001,88,1477683205,261074728,2341840310,American Pie 2,145096820,229950222.60459
79,Comedy,2002,82,1305574866,224711640,2015663411,Austin Powers in Goldmember,213117789,329030330.39893
80,Comedy,2003,82,1802604618,298939369,2681486140,Bruce Almighty,242704995,361038729.016098
81,Comedy,2004,120,1674423943,269633428,2418611849,Meet the Fockers,162461370,234666373.548609
82,Comedy,2005,129,1825866367,284846481,2555072935,Wedding Crashers,209218368,292775089.811198
83,Comedy,2006,125,1954939739,298464018,2677222241,Talladega Nights: The Ballad of Ricky Bobby,148213377,202973084.746382
84,Comedy,2007,134,1428122669,203009299,1820993412,Wild Hogs,168213584,214488457.414794
85,Comedy,2008,125,2099450726,249134624,2234737577,Sex and the City,152647258,162483719.791104
86,Comedy,2009,87,1435281074,173140695,1553072034,The Hangover,277322503,300081866.618539
87,Comedy,2010,77,1376066203,155529369,1395098440,Grown Ups,162001186,164241808.551089
88,Comedy,2011,96,1491182522,171940533,1542306581,The Hangover Part II,254464305,263188420.224182
89,Comedy,2012,94,1050654625,131991738,1183965890,21 Jump Street,138447667,156014461.248937
90,Comedy,2013,98,1619719448,199227435,1787070092,The Heat,159581587,176069677.815955
91,Comedy,2014,102,1270249093,155477200,1394630484,22 Jump Street,191719337,210492283.148176
92,Comedy,2015,121,1293229974,148452655,1331620315,Pitch Perfect 2,184296230,189767178.908515
93,Comedy,2016,98,1409767232,161840867,1451712577,Ghostbusters,128350574,132169437.841615
94,Comedy,2017,74,784372296,87443925,784372007,Girls Trip,115108515,115108472.588557
95,Comedy,2018,74,865423455,96479734,865423214,Night School,77339130,77339108.4628782
96,Thriller or Suspense,1995,19,329923961,75844582,680325901,Se7en,87113775,179634596.064959
97,Thriller or Suspense,1996,22,305709447,69165022,620410247,Executive Decision,56679192,115025400.273222
98,Thriller or Suspense,1997,23,646036777,140748740,1262516198,Titanic,157467971,307731496.304109
99,Thriller or Suspense,1998,22,786162209,167625193,1503597981,Titanic,443319081,847883130.859544
100,Thriller or Suspense,1999,17,574879882,113165323,1015092947,The Sixth Sense,276386495,488028874.387625
101,Thriller or Suspense,2000,27,572344556,106186358,952491631,What Lies Beneath,155464351,258722637.778259
102,Thriller or Suspense,2001,26,674556330,119179554,1069040599,Ocean's Eleven,151967372,240838730.831176
103,Thriller or Suspense,2002,33,950052308,163520173,1466775952,Signs,227750028,351620917.421872
104,Thriller or Suspense,2003,20,382640658,63456152,569201683,The Recruit,52784696,78520505.2617366
105,Thriller or Suspense,2004,30,801681437,129095226,1157984177,The Bourne Supremacy,176087450,254348512.335928
106,Thriller or Suspense,2005,25,368731981,57524478,515994568,Flightplan,89132263,124729521.471986
107,Thriller or Suspense,2006,35,739589574,112914419,1012842338,The Da Vinci Code,217536138,297908216.066078
108,Thriller or Suspense,2007,57,826453022,120084032,1077153767,The Bourne Ultimatum,227471070,296473378.899473
109,Thriller or Suspense,2008,51,780239375,97076819,870779066,Eagle Eye,101401695,113168440.471127
110,Thriller or Suspense,2009,55,965638077,122809305,1101599466,Taken,145000989,165417060.342238
111,Thriller or Suspense,2010,51,919200109,104436566,936795997,Inception,292568851,298169382.031361
112,Thriller or Suspense,2011,60,928786329,110302117,989409989,Super 8,127004179,135293984.659139
113,Thriller or Suspense,2012,64,1534307056,192752112,1728986445,The Hunger Games,408010692,459780819.702539
114,Thriller or Suspense,2013,70,1143419822,140642010,1261558830,Gravity,255621667,282032692.575772
115,Thriller or Suspense,2014,62,969244659,118634566,1064152057,The Hunger Games: Mockingjay - Part 1,323734502,355434237.399466
116,Thriller or Suspense,2015,72,1089501477,125482735,1125580133,The Hunger Games: Mockingjay - Part 2,274185395,283264997.694682
117,Thriller or Suspense,2016,64,652302676,74687059,669942919,The Accountant,85856696,88178521.4904371
118,Thriller or Suspense,2017,63,697561514,77766030,697561289,Baby Driver,107825862,107825827.220531
119,Thriller or Suspense,2018,56,613231037,68364643,613230848,Maze Runner: The Death Cure,58032443,58032425.1141934
120,Horror,1995,15,148103633,34046807,305399859,Tales from the Crypt: Demon Knight,21089146,43487266.8844688
121,Horror,1996,9,112915551,25546499,229152096,Scream,39129829,79410517.4359162
122,Horror,1997,11,407801247,88845581,796944862,Scream 2,85520969,167129201.637314
123,Horror,1998,16,318584830,67928527,609318887,Halloween: H2O,55041738,105271712.20521
124,Horror,1999,15,477204556,93937896,842622927,The Blair Witch Project,140539099,248156614.324786
125,Horror,2000,14,370091662,68662640,615903881,Scream 3,89138076,148342944.708851
126,Horror,2001,16,391330452,69139648,620182643,Hannibal,165092266,261639127.094405
127,Horror,2002,11,297788051,51254391,459751887,The Ring,127230430,196429742.831828
128,Horror,2003,16,450032336,74632219,669451004,Freddy vs. Jason,82622655,122906322.320127
129,Horror,2004,20,464969445,74874297,671622444,The Grudge,110359362,159407946.525864
130,Horror,2005,30,587908674,91717406,822705132,Saw II,87014325,121765734.885238
131,Horror,2006,31,553283464,84470742,757702556,Saw III,80238724,109884155.628729
132,Horror,2007,31,693525961,93822372,841586677,I am Legend,206129574,250136134.722267
133,Horror,2008,25,293647307,33899031,304074308,Saw V,56746769,58761766.5940688
134,Horror,2009,26,584680109,70287470,630478606,Paranormal Activity,107854596,116302939.487844
135,Horror,2010,26,531211616,62321234,559021469,Paranormal Activity 2,84660648,89092780.3270249
136,Horror,2011,28,404326975,47796580,428735323,Paranormal Activity 3,104007828,110286556.399331
137,Horror,2012,33,308863451,38801926,348053276,Paranormal Activity 4,53900335,60739424.213218
138,Horror,2013,30,448523012,55168866,494864728,The Conjuring,137400141,151596421.106542
139,Horror,2014,30,254888301,31198061,279846607,Annabelle,84273813,92525786.9210815
140,Horror,2015,24,374324652,43043467,386099899,Goosebumps,79132868,81622175.2404924
141,Horror,2016,28,479942549,54784636,491418185,The Conjuring 2: The Enfield Poltergeist,102470008,104920110.653276
142,Horror,2017,34,1039425572,115877974,1039425427,It,327481748,327481702.316254
143,Horror,2018,34,901529308,100504925,901529177,A Quiet Place,188024361,188024333.678435
144,Romantic Comedy,1995,16,297177737,68316713,612800916,While You Were Sleeping,81057016,167145137.29885
145,Romantic Comedy,1996,19,427301022,96674429,867169628,Jerry Maguire,83338125,169127353.162445
146,Romantic Comedy,1997,22,297133612,64734983,580672798,Jerry Maguire,70614467,137998188.276891
147,Romantic Comedy,1998,14,500783066,106776765,957787582,There's Something About Mary,174711965,334150577.096029
148,Romantic Comedy,1999,23,722597811,142243650,1275925541,Runaway Bride,152162347,268680339.132393
149,Romantic Comedy,2000,23,374478694,69476556,623204707,What Women Want,115761883,192650080.051773
150,Romantic Comedy,2001,23,529130923,93486019,838569590,America's Sweethearts,93607673,148349953.775928
151,Romantic Comedy,2002,24,574879303,98946512,887550213,My Big Fat Greek Wedding,227898505,351850145.934253
152,Romantic Comedy,2003,25,495065519,82100406,736440642,How to Lose a Guy in 10 Days,105807520,157395243.59245
