_id,genre,year,gross,inflation_adjusted_gross,movies_released,tickets_sold,gross_per_movie,tickets_per_movie,decade,top_movie,top_movie_gross,top_movie_inflation_adjusted_gross
6902a3f2df16f61a2804847d,Adventure,1995,771507571.0,1590901682.0,29,177358047.0,26603709.344827585,6115794.724137931,1990s,Toy Story,150148222.0,309615962.186208
6902a3f2df16f61a2804847f,Adventure,1997,881902843.0,1723457085.0,23,192135684.0,38343601.86956522,8353725.391304348,1990s,Men in Black,250650052.0,489832424.743661
6902a3f2df16f61a2804847e,Adventure,1996,1290490033.0,2618935504.0,34,291966054.0,37955589.205882356,8587236.88235294,1990s,Independence Day,306169255.0,621343452.214582
6902a3f2df16f61a28048481,Adventure,1999,1612432107.0,2847148684.0,27,317407880.0,59719707.666666664,11755847.407407407,1990s,Star Wars Ep. I: The Phantom Menace,430443350.0,760054461.932797
6902a3f2df16f61a28048482,Adventure,2000,1327311892.0,2208902928.0,30,246254507.0,44243729.733333334,8208483.566666666,2000s,How the Grinch Stole Christmas,253367455.0,421652300.851538
6902a3f2df16f61a28048483,Adventure,2001,2268870844.0,3595579067.0,32,400844935.0,70902213.875,12526404.21875,2000s,Harry Potter and the Sorcerer’s Stone,300404434.0,476064072.743835
6902a3f2df16f61a28048480,Adventure,1998,1614467732.0,3087798481.0,29,344236174.0,55671301.10344828,11870212.896551725,1990s,Armageddon,201578182.0,385534372.626496
6902a3f2df16f61a28048484,Adventure,2002,2818919526.0,4352101018.0,45,485184060.0,62642656.13333333,10781868.0,2000s,Spider-Man,403706375.0,623278142.353961
6902a3f2df16f61a28048485,Adventure,2003,2424131447.0,3606046052.0,46,402011823.0,52698509.717391305,8739387.456521738,2000s,Finding Nemo,339714367.0,505346215.216204
6902a3f2df16f61a28048486,Adventure,2004,2887833719.0,4171315189.0,47,465029564.0,61443270.61702128,9894246.042553192,2000s,Shrek 2,441226247.0,637326773.279
6902a3f2df16f61a28048487,Adventure,2005,2541162317.0,3556041307.0,43,396437158.0,59096798.069767445,9219468.790697675,2000s,Star Wars Ep. III: Revenge of the Sith,380270577.0,532141481.322275
6902a3f2df16f61a28048488,Adventure,2006,2743705092.0,3757409654.0,44,418886249.0,62356933.90909091,9520142.022727273,2000s,Pirates of the Caribbean: Dead Man’s Chest,423315812.0,579716429.195463
6902a3f2df16f61a28048489,Adventure,2007,2914786658.0,3687519055.0,41,411094655.0,71092357.51219513,10026698.902439024,2000s,Spider-Man 3,336530303.0,425747078.775542
6902a3f2df16f61a2804848a,Adventure,2008,3007666130.0,3082501714.0,57,343645676.0,52766072.456140354,6028871.50877193,2000s,Iron Man,318412101.0,326334707.599623
6902a3f2df16f61a2804848c,Adventure,2010,3202949362.0,3342912143.0,44,372676939.0,72794303.68181819,8469930.431818182,2010s,Toy Story 3,415004880.0,433139802.088528
6902a3f2df16f61a2804848d,Adventure,2011,2775702217.0,2910947288.0,51,324520322.0,54425533.666666664,6363143.568627451,2010s,Harry Potter and the Deathly Hallows: Part II,381011219.0,399575850.69927
6902a3f2df16f61a2804848b,Adventure,2009,2818706120.0,2889395823.0,49,322117706.0,57524614.69387755,6573830.734693877,2000s,Harry Potter and the Half-Blood Prince,301959197.0,309531964.449076
6902a3f2df16f61a2804848e,Adventure,2012,3284291528.0,3701016744.0,48,412599414.0,68422740.16666667,8595821.125,2010s,The Hobbit: An Unexpected Journey,263834893.0,297311413.533095
6902a3f2df16f61a2804848f,Adventure,2013,2900376040.0,3200023559.0,40,356747331.0,72509401.0,8918683.275,2010s,The Hunger Games: Catching Fire,407139699.0,449202658.77116
6902a3f2df16f61a28048490,Adventure,2014,2734961640.0,3002753453.0,49,334755123.0,55815543.67346939,6831737.204081632,2010s,The Lego Movie,257784718.0,283025524.301369
6902a3f2df16f61a28048491,Adventure,2015,3063807262.0,3190256960.0,51,355658524.0,60074652.196078435,6973696.549019608,2010s,Star Wars Ep. VII: The Force Awakens,742208942.0,772841448.728747
6902a3f2df16f61a28048492,Adventure,2016,4159137913.0,4288527865.0,53,478096752.0,78474300.24528302,9020693.433962265,2010s,Finding Dory,486295561.0,501424119.035773
6902a3f2df16f61a28048494,Adventure,2018,2973509668.0,2973509567.0,49,331494935.0,60683870.77551021,6765202.755102041,2010s,Incredibles 2,608581744.0,608581723.32855
6902a3f2df16f61a28048495,Action,1995,1049544278.0,2164232543.0,29,241274531.0,36191182.0,8319811.413793104,1990s,Batman Forever,184031112.0,379484820.091485
6902a3f2df16f61a28048496,Action,1996,1222675745.0,2481312400.0,36,276623456.0,33963215.13888889,7683984.888888889,1990s,Twister,241688385.0,490485223.976103
6902a3f2df16f61a28048493,Adventure,2017,2687890267.0,2687890164.0,44,299653307.0,61088415.15909091,6810302.431818182,2010s,Star Wars Ep. VIII: The Last Jedi,517218368.0,517218348.180183
6902a3f2df16f61a28048497,Action,1997,1456612580.0,2846582614.0,36,317344773.0,40461460.55555555,8815132.583333334,1990s,The Lost World: Jurassic Park,229086679.0,447692246.03319
6902a3f2df16f61a28048498,Action,1998,973161753.0,1861249543.0,30,207497162.0,32438725.1,6916572.066666666,1990s,Rush Hour,137567454.0,263108738.192646
6902a3f2df16f61a28048499,Action,1999,910203960.0,1607190753.0,25,179173997.0,36408158.4,7166959.88,1990s,The Matrix,171479930.0,302790330.445373
6902a3f2df16f61a2804849a,Action,2000,1266568598.0,2107794128.0,31,234982623.0,40857051.548387095,7580084.612903226,2000s,Mission: Impossible 2,215409889.0,358480148.540152
6902a3f2df16f61a2804849b,Action,2001,1390622699.0,2203866596.0,31,245693043.0,44858796.741935484,7925582.0322580645,2000s,Rush Hour 2,226164286.0,358426419.676607
6902a3f2df16f61a2804849e,Action,2004,1068864943.0,1543915934.0,28,172119948.0,38173747.96428572,6147141.0,2000s,"I, Robot",144801023.0,209157020.382509
6902a3f2df16f61a2804849f,Action,2005,1356922056.0,1898843943.0,41,211688288.0,33095659.902439024,5163128.975609756,2000s,War of the Worlds,234280354.0,327846267.359071
6902a3f2df16f61a280484a0,Action,2006,1050592286.0,1438749886.0,33,160395751.0,31836129.87878788,4860477.303030303,2000s,X-Men: The Last Stand,234362462.0,320951305.257518
6902a3f2df16f61a2804849c,Action,2002,1394290142.0,2152630243.0,32,239981075.0,43571566.9375,7499408.59375,2000s,Men in Black 2,190418803.0,293985636.00664
6902a3f2df16f61a2804849d,Action,2003,2109404900.0,3137870833.0,36,349818376.0,58594580.55555555,9717177.111111112,2000s,The Matrix Reloaded,281553689.0,418828603.572815
6902a3f2df16f61a280484a1,Action,2007,1489960013.0,1921394801.0,38,214202319.0,39209474.026315786,5636903.131578947,2000s,Transformers,319246193.0,411687542.026165
6902a3f2df16f61a280484a2,Action,2008,1643555898.0,1752403850.0,36,195362748.0,45654330.5,5426743.0,2000s,The Dark Knight,531001578.0,566168276.220852
6902a3f2df16f61a280484a3,Action,2009,2041030428.0,2126965368.0,31,237119885.0,65839691.22580645,7649028.548387097,2000s,Transformers: Revenge of the Fallen,402111870.0,419042268.953238
6902a3f2df16f61a280484a4,Action,2010,1804202879.0,1840783995.0,31,205215607.0,58200092.87096774,6619858.29032258,2010s,Avatar,408392727.0,416673093.855541
6902a3f2df16f61a280484a5,Action,2011,2117521464.0,2185383938.0,47,243632546.0,45053648.17021277,5183671.191489362,2010s,Transformers: Dark of the Moon,352390543.0,363683979.439133
6902a3f2df16f61a280484a6,Action,2012,2219838801.0,2501501520.0,48,278874194.0,46246641.6875,5809879.041666667,2010s,The Avengers,623279547.0,702363943.500333
6902a3f2df16f61a280484a7,Action,2013,2423174736.0,2673539438.0,45,298053449.0,53848327.46666667,6623409.977777778,2010s,Iron Man 3,408992272.0,451249739.766692
6902a3f2df16f61a280484a8,Action,2014,2603979395.0,2858958774.0,49,318724501.0,53142436.63265306,6504581.653061224,2010s,Guardians of the Galaxy,333055258.0,365667736.816302
6902a3f2df16f61a280484a9,Action,2015,2947442069.0,3038182801.0,56,338704883.0,52632894.08928572,6048301.482142857,2010s,Jurassic World,652270625.0,672351601.17833
6902a3f2df16f61a280484ac,Action,2018,4142067464.0,4142067248.0,59,461768924.0,70204533.28813559,7826591.93220339,2010s,Black Panther,700059566.0,700059529.493384
6902a3f2df16f61a280484ad,Drama,1995,1525963099.0,3146640569.0,131,350796050.0,11648573.274809161,2677832.4427480916,1990s,Apollo 13,172036360.0,354750773.510735
6902a3f2df16f61a280484ae,Drama,1996,1373074715.0,2786533451.0,121,310650329.0,11347724.917355372,2567358.090909091,1990s,A Time to Kill,108766007.0,220730972.267012
6902a3f2df16f61a280484aa,Action,2016,2533249471.0,2600865547.0,61,289951566.0,41528679.85245901,4753304.360655738,2010s,Captain America: Civil War,408084349.0,418976707.874352
6902a3f2df16f61a280484ab,Action,2017,3305708764.0,3305708467.0,67,368529372.0,49338936.7761194,5500438.388059702,2010s,Wonder Woman,412563408.0,412563370.933416
6902a3f2df16f61a280484af,Drama,1997,1198241550.0,2341661081.0,117,261054747.0,10241380.76923077,2231237.153846154,1990s,The Godfather,129141981.0,252375450.368034
6902a3f2df16f61a280484b0,Drama,1998,1577021454.0,3010019055.0,129,335565112.0,12224972.511627907,2601279.9379844964,1990s,Saving Private Ryan,190588778.0,363771749.581515
6902a3f2df16f61a280484b1,Drama,1999,1458861532.0,2575981251.0,133,287177397.0,10968883.69924812,2159228.5488721803,1990s,The General's Daughter,102705852.0,181352611.825521
6902a3f2df16f61a280484b2,Drama,2000,1749265350.0,2911114382.0,166,324538950.0,10537743.072289156,1955053.9156626507,2000s,The Perfect Storm,182618434.0,303912239.292751
6902a3f2df16f61a280484b4,Drama,2002,1601890899.0,2473142300.0,175,275712631.0,9153662.28,1575500.7485714285,2000s,A Beautiful Mind,132929755.0,205228833.139863
6902a3f2df16f61a280484b3,Drama,2001,1377189931.0,2182577736.0,151,243319703.0,9120463.119205298,1611388.761589404,2000s,Cast Away,123942702.0,196425036.10846
6902a3f2df16f61a280484b5,Drama,2003,1109221772.0,1650035554.0,174,183950452.0,6374837.770114942,1057186.5057471264,2000s,Seabiscuit,120277854.0,178920699.600928
