_id,genre,start_total,end_total,growth_ratio
Horror,Horror,305399859.0,901529177.0,2.951963304606503
Dark Comedy,Dark Comedy,49872348.0,141282676.0,2.8328859912511035
Action,Action,2164232543.0,4142067248.0,1.9138734704813096
Adventure,Adventure,1590901682.0,2973509567.0,1.8690718607210575
Thriller or Suspense,Thriller or Suspense,680325901.0,613230848.0,0.9013780705668003
Documentary,Documentary,169077889.0,107098750.0,0.633428478634483
Drama,Drama,3146640569.0,1631624836.0,0.5185291425002282
Western,Western,75344017.0,33408720.0,0.44341569948414084
Comedy,Comedy,2162895044.0,865423214.0,0.4001226117747764
Romantic Comedy,Romantic Comedy,612800916.0,241016473.0,0.39330305602872173
